"Tabela 4092 - Pessoas de 14 anos ou mais de idade, por condição em relação à força de trabalho e condição de ocupação"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Condição em relação à força de trabalho e condição de ocupação";"Brasil, Grande Região e Unidade da Federação";"Trimestre";""
"Força de trabalho";"Brasil";"1º trimestre 2018";"104751"
"Força de trabalho";"Brasil";"2º trimestre 2018";"104610"
"Força de trabalho";"Brasil";"3º trimestre 2018";"105624"
"Força de trabalho";"Brasil";"4º trimestre 2018";"105947"
"Força de trabalho";"Brasil";"1º trimestre 2019";"106273"
"Força de trabalho";"Brasil";"2º trimestre 2019";"107170"
"Força de trabalho";"Brasil";"3º trimestre 2019";"107535"
"Força de trabalho";"Brasil";"4º trimestre 2019";"107418"
"Força de trabalho";"Brasil";"1º trimestre 2020";"106263"
"Força de trabalho";"Brasil";"2º trimestre 2020";"97279"
"Força de trabalho";"Brasil";"3º trimestre 2020";"98037"
"Força de trabalho";"Brasil";"4º trimestre 2020";"101637"
"Força de trabalho";"Brasil";"1º trimestre 2021";"102339"
"Força de trabalho";"Brasil";"2º trimestre 2021";"104216"
"Força de trabalho";"Brasil";"3º trimestre 2021";"106430"
"Força de trabalho";"Brasil";"4º trimestre 2021";"107758"
"Força de trabalho";"Norte";"1º trimestre 2018";"8110"
"Força de trabalho";"Norte";"2º trimestre 2018";"8121"
"Força de trabalho";"Norte";"3º trimestre 2018";"8215"
"Força de trabalho";"Norte";"4º trimestre 2018";"8302"
"Força de trabalho";"Norte";"1º trimestre 2019";"8269"
"Força de trabalho";"Norte";"2º trimestre 2019";"8330"
"Força de trabalho";"Norte";"3º trimestre 2019";"8425"
"Força de trabalho";"Norte";"4º trimestre 2019";"8390"
"Força de trabalho";"Norte";"1º trimestre 2020";"8384"
"Força de trabalho";"Norte";"2º trimestre 2020";"7720"
"Força de trabalho";"Norte";"3º trimestre 2020";"7955"
"Força de trabalho";"Norte";"4º trimestre 2020";"8255"
"Força de trabalho";"Norte";"1º trimestre 2021";"8230"
"Força de trabalho";"Norte";"2º trimestre 2021";"8439"
"Força de trabalho";"Norte";"3º trimestre 2021";"8670"
"Força de trabalho";"Norte";"4º trimestre 2021";"8770"
"Força de trabalho";"Nordeste";"1º trimestre 2018";"24760"
"Força de trabalho";"Nordeste";"2º trimestre 2018";"24541"
"Força de trabalho";"Nordeste";"3º trimestre 2018";"25011"
"Força de trabalho";"Nordeste";"4º trimestre 2018";"25045"
"Força de trabalho";"Nordeste";"1º trimestre 2019";"24979"
"Força de trabalho";"Nordeste";"2º trimestre 2019";"25173"
"Força de trabalho";"Nordeste";"3º trimestre 2019";"25220"
"Força de trabalho";"Nordeste";"4º trimestre 2019";"25213"
"Força de trabalho";"Nordeste";"1º trimestre 2020";"24974"
"Força de trabalho";"Nordeste";"2º trimestre 2020";"21876"
"Força de trabalho";"Nordeste";"3º trimestre 2020";"22298"
"Força de trabalho";"Nordeste";"4º trimestre 2020";"23789"
"Força de trabalho";"Nordeste";"1º trimestre 2021";"23960"
"Força de trabalho";"Nordeste";"2º trimestre 2021";"24381"
"Força de trabalho";"Nordeste";"3º trimestre 2021";"24999"
"Força de trabalho";"Nordeste";"4º trimestre 2021";"25191"
"Força de trabalho";"Sudeste";"1º trimestre 2018";"47513"
"Força de trabalho";"Sudeste";"2º trimestre 2018";"47639"
"Força de trabalho";"Sudeste";"3º trimestre 2018";"47903"
"Força de trabalho";"Sudeste";"4º trimestre 2018";"47883"
"Força de trabalho";"Sudeste";"1º trimestre 2019";"48161"
"Força de trabalho";"Sudeste";"2º trimestre 2019";"48610"
"Força de trabalho";"Sudeste";"3º trimestre 2019";"48746"
"Força de trabalho";"Sudeste";"4º trimestre 2019";"48673"
"Força de trabalho";"Sudeste";"1º trimestre 2020";"48037"
"Força de trabalho";"Sudeste";"2º trimestre 2020";"43897"
"Força de trabalho";"Sudeste";"3º trimestre 2020";"44206"
"Força de trabalho";"Sudeste";"4º trimestre 2020";"45490"
"Força de trabalho";"Sudeste";"1º trimestre 2021";"45881"
"Força de trabalho";"Sudeste";"2º trimestre 2021";"47074"
"Força de trabalho";"Sudeste";"3º trimestre 2021";"48022"
"Força de trabalho";"Sudeste";"4º trimestre 2021";"48609"
"Força de trabalho";"Sul";"1º trimestre 2018";"15941"
"Força de trabalho";"Sul";"2º trimestre 2018";"15855"
"Força de trabalho";"Sul";"3º trimestre 2018";"15958"
"Força de trabalho";"Sul";"4º trimestre 2018";"16132"
"Força de trabalho";"Sul";"1º trimestre 2019";"16182"
"Força de trabalho";"Sul";"2º trimestre 2019";"16282"
"Força de trabalho";"Sul";"3º trimestre 2019";"16307"
"Força de trabalho";"Sul";"4º trimestre 2019";"16379"
"Força de trabalho";"Sul";"1º trimestre 2020";"16178"
"Força de trabalho";"Sul";"2º trimestre 2020";"15618"
"Força de trabalho";"Sul";"3º trimestre 2020";"15347"
"Força de trabalho";"Sul";"4º trimestre 2020";"15692"
"Força de trabalho";"Sul";"1º trimestre 2021";"15776"
"Força de trabalho";"Sul";"2º trimestre 2021";"15806"
"Força de trabalho";"Sul";"3º trimestre 2021";"16082"
"Força de trabalho";"Sul";"4º trimestre 2021";"16409"
"Força de trabalho";"Centro-Oeste";"1º trimestre 2018";"8427"
"Força de trabalho";"Centro-Oeste";"2º trimestre 2018";"8455"
"Força de trabalho";"Centro-Oeste";"3º trimestre 2018";"8537"
"Força de trabalho";"Centro-Oeste";"4º trimestre 2018";"8585"
"Força de trabalho";"Centro-Oeste";"1º trimestre 2019";"8682"
"Força de trabalho";"Centro-Oeste";"2º trimestre 2019";"8775"
"Força de trabalho";"Centro-Oeste";"3º trimestre 2019";"8838"
"Força de trabalho";"Centro-Oeste";"4º trimestre 2019";"8762"
"Força de trabalho";"Centro-Oeste";"1º trimestre 2020";"8689"
"Força de trabalho";"Centro-Oeste";"2º trimestre 2020";"8169"
"Força de trabalho";"Centro-Oeste";"3º trimestre 2020";"8231"
"Força de trabalho";"Centro-Oeste";"4º trimestre 2020";"8410"
"Força de trabalho";"Centro-Oeste";"1º trimestre 2021";"8491"
"Força de trabalho";"Centro-Oeste";"2º trimestre 2021";"8515"
"Força de trabalho";"Centro-Oeste";"3º trimestre 2021";"8657"
"Força de trabalho";"Centro-Oeste";"4º trimestre 2021";"8780"
"Força de trabalho";"Rondônia";"1º trimestre 2018";"856"
"Força de trabalho";"Rondônia";"2º trimestre 2018";"838"
"Força de trabalho";"Rondônia";"3º trimestre 2018";"865"
"Força de trabalho";"Rondônia";"4º trimestre 2018";"876"
"Força de trabalho";"Rondônia";"1º trimestre 2019";"871"
"Força de trabalho";"Rondônia";"2º trimestre 2019";"868"
"Força de trabalho";"Rondônia";"3º trimestre 2019";"886"
"Força de trabalho";"Rondônia";"4º trimestre 2019";"883"
"Força de trabalho";"Rondônia";"1º trimestre 2020";"892"
"Força de trabalho";"Rondônia";"2º trimestre 2020";"823"
"Força de trabalho";"Rondônia";"3º trimestre 2020";"816"
"Força de trabalho";"Rondônia";"4º trimestre 2020";"845"
"Força de trabalho";"Rondônia";"1º trimestre 2021";"845"
"Força de trabalho";"Rondônia";"2º trimestre 2021";"868"
"Força de trabalho";"Rondônia";"3º trimestre 2021";"896"
"Força de trabalho";"Rondônia";"4º trimestre 2021";"916"
"Força de trabalho";"Acre";"1º trimestre 2018";"359"
"Força de trabalho";"Acre";"2º trimestre 2018";"351"
"Força de trabalho";"Acre";"3º trimestre 2018";"359"
"Força de trabalho";"Acre";"4º trimestre 2018";"364"
"Força de trabalho";"Acre";"1º trimestre 2019";"357"
"Força de trabalho";"Acre";"2º trimestre 2019";"358"
"Força de trabalho";"Acre";"3º trimestre 2019";"356"
"Força de trabalho";"Acre";"4º trimestre 2019";"353"
"Força de trabalho";"Acre";"1º trimestre 2020";"340"
"Força de trabalho";"Acre";"2º trimestre 2020";"339"
"Força de trabalho";"Acre";"3º trimestre 2020";"334"
"Força de trabalho";"Acre";"4º trimestre 2020";"358"
"Força de trabalho";"Acre";"1º trimestre 2021";"366"
"Força de trabalho";"Acre";"2º trimestre 2021";"389"
"Força de trabalho";"Acre";"3º trimestre 2021";"378"
"Força de trabalho";"Acre";"4º trimestre 2021";"381"
"Força de trabalho";"Amazonas";"1º trimestre 2018";"1794"
"Força de trabalho";"Amazonas";"2º trimestre 2018";"1772"
"Força de trabalho";"Amazonas";"3º trimestre 2018";"1812"
"Força de trabalho";"Amazonas";"4º trimestre 2018";"1834"
"Força de trabalho";"Amazonas";"1º trimestre 2019";"1844"
"Força de trabalho";"Amazonas";"2º trimestre 2019";"1887"
"Força de trabalho";"Amazonas";"3º trimestre 2019";"1899"
"Força de trabalho";"Amazonas";"4º trimestre 2019";"1902"
"Força de trabalho";"Amazonas";"1º trimestre 2020";"1908"
"Força de trabalho";"Amazonas";"2º trimestre 2020";"1751"
"Força de trabalho";"Amazonas";"3º trimestre 2020";"1839"
"Força de trabalho";"Amazonas";"4º trimestre 2020";"1878"
"Força de trabalho";"Amazonas";"1º trimestre 2021";"1869"
"Força de trabalho";"Amazonas";"2º trimestre 2021";"1925"
"Força de trabalho";"Amazonas";"3º trimestre 2021";"1966"
"Força de trabalho";"Amazonas";"4º trimestre 2021";"1923"
"Força de trabalho";"Roraima";"1º trimestre 2018";"238"
"Força de trabalho";"Roraima";"2º trimestre 2018";"240"
"Força de trabalho";"Roraima";"3º trimestre 2018";"245"
"Força de trabalho";"Roraima";"4º trimestre 2018";"253"
"Força de trabalho";"Roraima";"1º trimestre 2019";"257"
"Força de trabalho";"Roraima";"2º trimestre 2019";"249"
"Força de trabalho";"Roraima";"3º trimestre 2019";"249"
"Força de trabalho";"Roraima";"4º trimestre 2019";"256"
"Força de trabalho";"Roraima";"1º trimestre 2020";"255"
"Força de trabalho";"Roraima";"2º trimestre 2020";"229"
"Força de trabalho";"Roraima";"3º trimestre 2020";"236"
"Força de trabalho";"Roraima";"4º trimestre 2020";"246"
"Força de trabalho";"Roraima";"1º trimestre 2021";"252"
"Força de trabalho";"Roraima";"2º trimestre 2021";"265"
"Força de trabalho";"Roraima";"3º trimestre 2021";"261"
"Força de trabalho";"Roraima";"4º trimestre 2021";"262"
"Força de trabalho";"Pará";"1º trimestre 2018";"3789"
"Força de trabalho";"Pará";"2º trimestre 2018";"3837"
"Força de trabalho";"Pará";"3º trimestre 2018";"3838"
"Força de trabalho";"Pará";"4º trimestre 2018";"3866"
"Força de trabalho";"Pará";"1º trimestre 2019";"3836"
"Força de trabalho";"Pará";"2º trimestre 2019";"3839"
"Força de trabalho";"Pará";"3º trimestre 2019";"3915"
"Força de trabalho";"Pará";"4º trimestre 2019";"3881"
"Força de trabalho";"Pará";"1º trimestre 2020";"3874"
"Força de trabalho";"Pará";"2º trimestre 2020";"3546"
"Força de trabalho";"Pará";"3º trimestre 2020";"3706"
"Força de trabalho";"Pará";"4º trimestre 2020";"3839"
"Força de trabalho";"Pará";"1º trimestre 2021";"3772"
"Força de trabalho";"Pará";"2º trimestre 2021";"3873"
"Força de trabalho";"Pará";"3º trimestre 2021";"4004"
"Força de trabalho";"Pará";"4º trimestre 2021";"4102"
"Força de trabalho";"Amapá";"1º trimestre 2018";"370"
"Força de trabalho";"Amapá";"2º trimestre 2018";"368"
"Força de trabalho";"Amapá";"3º trimestre 2018";"382"
"Força de trabalho";"Amapá";"4º trimestre 2018";"377"
"Força de trabalho";"Amapá";"1º trimestre 2019";"383"
"Força de trabalho";"Amapá";"2º trimestre 2019";"402"
"Força de trabalho";"Amapá";"3º trimestre 2019";"391"
"Força de trabalho";"Amapá";"4º trimestre 2019";"393"
"Força de trabalho";"Amapá";"1º trimestre 2020";"388"
"Força de trabalho";"Amapá";"2º trimestre 2020";"343"
"Força de trabalho";"Amapá";"3º trimestre 2020";"353"
"Força de trabalho";"Amapá";"4º trimestre 2020";"371"
"Força de trabalho";"Amapá";"1º trimestre 2021";"368"
"Força de trabalho";"Amapá";"2º trimestre 2021";"382"
"Força de trabalho";"Amapá";"3º trimestre 2021";"406"
"Força de trabalho";"Amapá";"4º trimestre 2021";"419"
"Força de trabalho";"Tocantins";"1º trimestre 2018";"704"
"Força de trabalho";"Tocantins";"2º trimestre 2018";"715"
"Força de trabalho";"Tocantins";"3º trimestre 2018";"713"
"Força de trabalho";"Tocantins";"4º trimestre 2018";"732"
"Força de trabalho";"Tocantins";"1º trimestre 2019";"720"
"Força de trabalho";"Tocantins";"2º trimestre 2019";"728"
"Força de trabalho";"Tocantins";"3º trimestre 2019";"728"
"Força de trabalho";"Tocantins";"4º trimestre 2019";"723"
"Força de trabalho";"Tocantins";"1º trimestre 2020";"728"
"Força de trabalho";"Tocantins";"2º trimestre 2020";"691"
"Força de trabalho";"Tocantins";"3º trimestre 2020";"671"
"Força de trabalho";"Tocantins";"4º trimestre 2020";"719"
"Força de trabalho";"Tocantins";"1º trimestre 2021";"759"
"Força de trabalho";"Tocantins";"2º trimestre 2021";"737"
"Força de trabalho";"Tocantins";"3º trimestre 2021";"758"
"Força de trabalho";"Tocantins";"4º trimestre 2021";"767"
"Força de trabalho";"Maranhão";"1º trimestre 2018";"2681"
"Força de trabalho";"Maranhão";"2º trimestre 2018";"2598"
"Força de trabalho";"Maranhão";"3º trimestre 2018";"2624"
"Força de trabalho";"Maranhão";"4º trimestre 2018";"2651"
"Força de trabalho";"Maranhão";"1º trimestre 2019";"2591"
"Força de trabalho";"Maranhão";"2º trimestre 2019";"2624"
"Força de trabalho";"Maranhão";"3º trimestre 2019";"2656"
"Força de trabalho";"Maranhão";"4º trimestre 2019";"2660"
"Força de trabalho";"Maranhão";"1º trimestre 2020";"2644"
"Força de trabalho";"Maranhão";"2º trimestre 2020";"2376"
"Força de trabalho";"Maranhão";"3º trimestre 2020";"2410"
"Força de trabalho";"Maranhão";"4º trimestre 2020";"2502"
"Força de trabalho";"Maranhão";"1º trimestre 2021";"2578"
"Força de trabalho";"Maranhão";"2º trimestre 2021";"2668"
"Força de trabalho";"Maranhão";"3º trimestre 2021";"2726"
"Força de trabalho";"Maranhão";"4º trimestre 2021";"2725"
"Força de trabalho";"Piauí";"1º trimestre 2018";"1401"
"Força de trabalho";"Piauí";"2º trimestre 2018";"1430"
"Força de trabalho";"Piauí";"3º trimestre 2018";"1454"
"Força de trabalho";"Piauí";"4º trimestre 2018";"1461"
"Força de trabalho";"Piauí";"1º trimestre 2019";"1452"
"Força de trabalho";"Piauí";"2º trimestre 2019";"1467"
"Força de trabalho";"Piauí";"3º trimestre 2019";"1538"
"Força de trabalho";"Piauí";"4º trimestre 2019";"1503"
"Força de trabalho";"Piauí";"1º trimestre 2020";"1434"
"Força de trabalho";"Piauí";"2º trimestre 2020";"1213"
"Força de trabalho";"Piauí";"3º trimestre 2020";"1319"
"Força de trabalho";"Piauí";"4º trimestre 2020";"1366"
"Força de trabalho";"Piauí";"1º trimestre 2021";"1399"
"Força de trabalho";"Piauí";"2º trimestre 2021";"1439"
"Força de trabalho";"Piauí";"3º trimestre 2021";"1451"
"Força de trabalho";"Piauí";"4º trimestre 2021";"1460"
"Força de trabalho";"Ceará";"1º trimestre 2018";"4095"
"Força de trabalho";"Ceará";"2º trimestre 2018";"4055"
"Força de trabalho";"Ceará";"3º trimestre 2018";"4138"
"Força de trabalho";"Ceará";"4º trimestre 2018";"4125"
"Força de trabalho";"Ceará";"1º trimestre 2019";"4122"
"Força de trabalho";"Ceará";"2º trimestre 2019";"4163"
"Força de trabalho";"Ceará";"3º trimestre 2019";"4184"
"Força de trabalho";"Ceará";"4º trimestre 2019";"4227"
"Força de trabalho";"Ceará";"1º trimestre 2020";"4143"
"Força de trabalho";"Ceará";"2º trimestre 2020";"3601"
"Força de trabalho";"Ceará";"3º trimestre 2020";"3612"
"Força de trabalho";"Ceará";"4º trimestre 2020";"3858"
"Força de trabalho";"Ceará";"1º trimestre 2021";"3686"
"Força de trabalho";"Ceará";"2º trimestre 2021";"3828"
"Força de trabalho";"Ceará";"3º trimestre 2021";"3952"
"Força de trabalho";"Ceará";"4º trimestre 2021";"3961"
"Força de trabalho";"Rio Grande do Norte";"1º trimestre 2018";"1518"
"Força de trabalho";"Rio Grande do Norte";"2º trimestre 2018";"1521"
"Força de trabalho";"Rio Grande do Norte";"3º trimestre 2018";"1570"
"Força de trabalho";"Rio Grande do Norte";"4º trimestre 2018";"1548"
"Força de trabalho";"Rio Grande do Norte";"1º trimestre 2019";"1522"
"Força de trabalho";"Rio Grande do Norte";"2º trimestre 2019";"1540"
"Força de trabalho";"Rio Grande do Norte";"3º trimestre 2019";"1543"
"Força de trabalho";"Rio Grande do Norte";"4º trimestre 2019";"1534"
"Força de trabalho";"Rio Grande do Norte";"1º trimestre 2020";"1565"
"Força de trabalho";"Rio Grande do Norte";"2º trimestre 2020";"1366"
"Força de trabalho";"Rio Grande do Norte";"3º trimestre 2020";"1405"
"Força de trabalho";"Rio Grande do Norte";"4º trimestre 2020";"1507"
"Força de trabalho";"Rio Grande do Norte";"1º trimestre 2021";"1517"
"Força de trabalho";"Rio Grande do Norte";"2º trimestre 2021";"1488"
"Força de trabalho";"Rio Grande do Norte";"3º trimestre 2021";"1502"
"Força de trabalho";"Rio Grande do Norte";"4º trimestre 2021";"1536"
"Força de trabalho";"Paraíba";"1º trimestre 2018";"1707"
"Força de trabalho";"Paraíba";"2º trimestre 2018";"1698"
"Força de trabalho";"Paraíba";"3º trimestre 2018";"1731"
"Força de trabalho";"Paraíba";"4º trimestre 2018";"1726"
"Força de trabalho";"Paraíba";"1º trimestre 2019";"1684"
"Força de trabalho";"Paraíba";"2º trimestre 2019";"1699"
"Força de trabalho";"Paraíba";"3º trimestre 2019";"1699"
"Força de trabalho";"Paraíba";"4º trimestre 2019";"1695"
"Força de trabalho";"Paraíba";"1º trimestre 2020";"1672"
"Força de trabalho";"Paraíba";"2º trimestre 2020";"1483"
"Força de trabalho";"Paraíba";"3º trimestre 2020";"1514"
"Força de trabalho";"Paraíba";"4º trimestre 2020";"1615"
"Força de trabalho";"Paraíba";"1º trimestre 2021";"1610"
"Força de trabalho";"Paraíba";"2º trimestre 2021";"1573"
"Força de trabalho";"Paraíba";"3º trimestre 2021";"1597"
"Força de trabalho";"Paraíba";"4º trimestre 2021";"1599"
"Força de trabalho";"Pernambuco";"1º trimestre 2018";"4227"
"Força de trabalho";"Pernambuco";"2º trimestre 2018";"4224"
"Força de trabalho";"Pernambuco";"3º trimestre 2018";"4227"
"Força de trabalho";"Pernambuco";"4º trimestre 2018";"4245"
"Força de trabalho";"Pernambuco";"1º trimestre 2019";"4269"
"Força de trabalho";"Pernambuco";"2º trimestre 2019";"4235"
"Força de trabalho";"Pernambuco";"3º trimestre 2019";"4214"
"Força de trabalho";"Pernambuco";"4º trimestre 2019";"4247"
"Força de trabalho";"Pernambuco";"1º trimestre 2020";"4128"
"Força de trabalho";"Pernambuco";"2º trimestre 2020";"3593"
"Força de trabalho";"Pernambuco";"3º trimestre 2020";"3678"
"Força de trabalho";"Pernambuco";"4º trimestre 2020";"3996"
"Força de trabalho";"Pernambuco";"1º trimestre 2021";"4149"
"Força de trabalho";"Pernambuco";"2º trimestre 2021";"4165"
"Força de trabalho";"Pernambuco";"3º trimestre 2021";"4180"
"Força de trabalho";"Pernambuco";"4º trimestre 2021";"4217"
"Força de trabalho";"Alagoas";"1º trimestre 2018";"1145"
"Força de trabalho";"Alagoas";"2º trimestre 2018";"1143"
"Força de trabalho";"Alagoas";"3º trimestre 2018";"1183"
"Força de trabalho";"Alagoas";"4º trimestre 2018";"1193"
"Força de trabalho";"Alagoas";"1º trimestre 2019";"1202"
"Força de trabalho";"Alagoas";"2º trimestre 2019";"1246"
"Força de trabalho";"Alagoas";"3º trimestre 2019";"1234"
"Força de trabalho";"Alagoas";"4º trimestre 2019";"1193"
"Força de trabalho";"Alagoas";"1º trimestre 2020";"1224"
"Força de trabalho";"Alagoas";"2º trimestre 2020";"1112"
"Força de trabalho";"Alagoas";"3º trimestre 2020";"1124"
"Força de trabalho";"Alagoas";"4º trimestre 2020";"1274"
"Força de trabalho";"Alagoas";"1º trimestre 2021";"1291"
"Força de trabalho";"Alagoas";"2º trimestre 2021";"1323"
"Força de trabalho";"Alagoas";"3º trimestre 2021";"1355"
"Força de trabalho";"Alagoas";"4º trimestre 2021";"1399"
"Força de trabalho";"Sergipe";"1º trimestre 2018";"1035"
"Força de trabalho";"Sergipe";"2º trimestre 2018";"1024"
"Força de trabalho";"Sergipe";"3º trimestre 2018";"1037"
"Força de trabalho";"Sergipe";"4º trimestre 2018";"1065"
"Força de trabalho";"Sergipe";"1º trimestre 2019";"1063"
"Força de trabalho";"Sergipe";"2º trimestre 2019";"1101"
"Força de trabalho";"Sergipe";"3º trimestre 2019";"1096"
"Força de trabalho";"Sergipe";"4º trimestre 2019";"1125"
"Força de trabalho";"Sergipe";"1º trimestre 2020";"1083"
"Força de trabalho";"Sergipe";"2º trimestre 2020";"1006"
"Força de trabalho";"Sergipe";"3º trimestre 2020";"990"
"Força de trabalho";"Sergipe";"4º trimestre 2020";"1056"
"Força de trabalho";"Sergipe";"1º trimestre 2021";"1092"
"Força de trabalho";"Sergipe";"2º trimestre 2021";"1082"
"Força de trabalho";"Sergipe";"3º trimestre 2021";"1102"
"Força de trabalho";"Sergipe";"4º trimestre 2021";"1141"
"Força de trabalho";"Bahia";"1º trimestre 2018";"6951"
"Força de trabalho";"Bahia";"2º trimestre 2018";"6848"
"Força de trabalho";"Bahia";"3º trimestre 2018";"7047"
"Força de trabalho";"Bahia";"4º trimestre 2018";"7032"
"Força de trabalho";"Bahia";"1º trimestre 2019";"7073"
"Força de trabalho";"Bahia";"2º trimestre 2019";"7098"
"Força de trabalho";"Bahia";"3º trimestre 2019";"7055"
"Força de trabalho";"Bahia";"4º trimestre 2019";"7029"
"Força de trabalho";"Bahia";"1º trimestre 2020";"7081"
"Força de trabalho";"Bahia";"2º trimestre 2020";"6125"
"Força de trabalho";"Bahia";"3º trimestre 2020";"6246"
"Força de trabalho";"Bahia";"4º trimestre 2020";"6614"
"Força de trabalho";"Bahia";"1º trimestre 2021";"6638"
"Força de trabalho";"Bahia";"2º trimestre 2021";"6816"
"Força de trabalho";"Bahia";"3º trimestre 2021";"7134"
"Força de trabalho";"Bahia";"4º trimestre 2021";"7154"
"Força de trabalho";"Minas Gerais";"1º trimestre 2018";"11200"
"Força de trabalho";"Minas Gerais";"2º trimestre 2018";"11278"
"Força de trabalho";"Minas Gerais";"3º trimestre 2018";"11280"
"Força de trabalho";"Minas Gerais";"4º trimestre 2018";"11224"
"Força de trabalho";"Minas Gerais";"1º trimestre 2019";"11183"
"Força de trabalho";"Minas Gerais";"2º trimestre 2019";"11389"
"Força de trabalho";"Minas Gerais";"3º trimestre 2019";"11483"
"Força de trabalho";"Minas Gerais";"4º trimestre 2019";"11461"
"Força de trabalho";"Minas Gerais";"1º trimestre 2020";"11286"
"Força de trabalho";"Minas Gerais";"2º trimestre 2020";"10507"
"Força de trabalho";"Minas Gerais";"3º trimestre 2020";"10605"
"Força de trabalho";"Minas Gerais";"4º trimestre 2020";"10785"
"Força de trabalho";"Minas Gerais";"1º trimestre 2021";"10942"
"Força de trabalho";"Minas Gerais";"2º trimestre 2021";"11037"
"Força de trabalho";"Minas Gerais";"3º trimestre 2021";"11314"
"Força de trabalho";"Minas Gerais";"4º trimestre 2021";"11341"
"Força de trabalho";"Espírito Santo";"1º trimestre 2018";"2074"
"Força de trabalho";"Espírito Santo";"2º trimestre 2018";"2100"
"Força de trabalho";"Espírito Santo";"3º trimestre 2018";"2124"
"Força de trabalho";"Espírito Santo";"4º trimestre 2018";"2120"
"Força de trabalho";"Espírito Santo";"1º trimestre 2019";"2154"
