"Tabela 5442 - Rendimento médio real, habitualmente recebido por mês e efetivamente recebido no mês de referência, do trabalho principal, por grupamentos de atividade no trabalho principal"
"Variável - Rendimento médio real do trabalho principal, habitualmente recebido por mês, pelas pessoas de 14 anos ou mais de idade, ocupadas na semana de referência, com rendimento de trabalho (Reais)"
"Grupamento de atividades no trabalho principal - PNADC";"Brasil, Grande Região e Unidade da Federação";"Trimestre";""
"Total";"Brasil";"1º trimestre 2018";"2569"
"Total";"Brasil";"2º trimestre 2018";"2568"
"Total";"Brasil";"3º trimestre 2018";"2564"
"Total";"Brasil";"4º trimestre 2018";"2579"
"Total";"Brasil";"1º trimestre 2019";"2595"
"Total";"Brasil";"2º trimestre 2019";"2560"
"Total";"Brasil";"3º trimestre 2019";"2566"
"Total";"Brasil";"4º trimestre 2019";"2585"
"Total";"Brasil";"1º trimestre 2020";"2622"
"Total";"Brasil";"2º trimestre 2020";"2742"
"Total";"Brasil";"3º trimestre 2020";"2773"
"Total";"Brasil";"4º trimestre 2020";"2668"
"Total";"Brasil";"1º trimestre 2021";"2638"
"Total";"Brasil";"2º trimestre 2021";"2557"
"Total";"Brasil";"3º trimestre 2021";"2459"
"Total";"Brasil";"4º trimestre 2021";"2377"
"Total";"Norte";"1º trimestre 2018";"1960"
"Total";"Norte";"2º trimestre 2018";"1929"
"Total";"Norte";"3º trimestre 2018";"1936"
"Total";"Norte";"4º trimestre 2018";"1898"
"Total";"Norte";"1º trimestre 2019";"1909"
"Total";"Norte";"2º trimestre 2019";"1884"
"Total";"Norte";"3º trimestre 2019";"1929"
"Total";"Norte";"4º trimestre 2019";"1936"
"Total";"Norte";"1º trimestre 2020";"1917"
"Total";"Norte";"2º trimestre 2020";"2116"
"Total";"Norte";"3º trimestre 2020";"2003"
"Total";"Norte";"4º trimestre 2020";"1963"
"Total";"Norte";"1º trimestre 2021";"1963"
"Total";"Norte";"2º trimestre 2021";"1895"
"Total";"Norte";"3º trimestre 2021";"1908"
"Total";"Norte";"4º trimestre 2021";"1820"
"Total";"Nordeste";"1º trimestre 2018";"1773"
"Total";"Nordeste";"2º trimestre 2018";"1762"
"Total";"Nordeste";"3º trimestre 2018";"1771"
"Total";"Nordeste";"4º trimestre 2018";"1779"
"Total";"Nordeste";"1º trimestre 2019";"1786"
