Tabela 6813 - Percentual de pessoas desalentadas na população na força de trabalho ou desalentada - Total, coeficiente de variação, variações em relação ao trimestre anterior e ao mesmo trimestre do ano anterior, e média anual;;
Variável - Percentual de pessoas desalentadas na população de 14 anos ou mais de idade na força de trabalho ou desalentada, na semana de referência (%);;
Brasil, Grande Região e Unidade da Federação;Trimestre;
Brasil;1º trimestre 2018;4,2
Brasil;2º trimestre 2018;4,3
Brasil;3º trimestre 2018;4,3
Brasil;4º trimestre 2018;4,2
Brasil;1º trimestre 2019;4,3
Brasil;2º trimestre 2019;4,3
Brasil;3º trimestre 2019;4,2
Brasil;4º trimestre 2019;4,1
Brasil;1º trimestre 2020;4,3
Brasil;2º trimestre 2020;5,5
Brasil;3º trimestre 2020;5,6
Brasil;4º trimestre 2020;5,3
Brasil;1º trimestre 2021;5,5
Brasil;2º trimestre 2021;5
Brasil;3º trimestre 2021;4,6
Brasil;4º trimestre 2021;4,3
Norte;1º trimestre 2018;6,2
Norte;2º trimestre 2018;6
Norte;3º trimestre 2018;6,1
Norte;4º trimestre 2018;5,9
Norte;1º trimestre 2019;6,1
Norte;2º trimestre 2019;5,5
Norte;3º trimestre 2019;5,1
Norte;4º trimestre 2019;5,3
Norte;1º trimestre 2020;5,6
Norte;2º trimestre 2020;7
Norte;3º trimestre 2020;7,5
Norte;4º trimestre 2020;7,6
Norte;1º trimestre 2021;8,9
Norte;2º trimestre 2021;7,8
Norte;3º trimestre 2021;6,4
Norte;4º trimestre 2021;5,6
Nordeste;1º trimestre 2018;10
Nordeste;2º trimestre 2018;10,5
Nordeste;3º trimestre 2018;10,3
Nordeste;4º trimestre 2018;10,1
Nordeste;1º trimestre 2019;10,5
Nordeste;2º trimestre 2019;10,4
Nordeste;3º trimestre 2019;10,5
Nordeste;4º trimestre 2019;10,3
Nordeste;1º trimestre 2020;10,5
Nordeste;2º trimestre 2020;13
Nordeste;3º trimestre 2020;13,1
Nordeste;4º trimestre 2020;12,1
Nordeste;1º trimestre 2021;12
Nordeste;2º trimestre 2021;11,7
Nordeste;3º trimestre 2021;10,5
Nordeste;4º trimestre 2021;10,2
Sudeste;1º trimestre 2018;1,9
Sudeste;2º trimestre 2018;2
Sudeste;3º trimestre 2018;1,9
Sudeste;4º trimestre 2018;1,9
Sudeste;1º trimestre 2019;1,9
Sudeste;2º trimestre 2019;2
Sudeste;3º trimestre 2019;1,8
Sudeste;4º trimestre 2019;1,8
Sudeste;1º trimestre 2020;2
Sudeste;2º trimestre 2020;2,9
Sudeste;3º trimestre 2020;3
Sudeste;4º trimestre 2020;2,8
Sudeste;1º trimestre 2021;2,9
Sudeste;2º trimestre 2021;2,3
Sudeste;3º trimestre 2021;2,5
Sudeste;4º trimestre 2021;2,1
Sul;1º trimestre 2018;1,1
Sul;2º trimestre 2018;1,2
Sul;3º trimestre 2018;1,3
Sul;4º trimestre 2018;1,3
Sul;1º trimestre 2019;1,3
Sul;2º trimestre 2019;1,4
Sul;3º trimestre 2019;1,3
Sul;4º trimestre 2019;1,3
Sul;1º trimestre 2020;1,2
Sul;2º trimestre 2020;1,9
Sul;3º trimestre 2020;1,9
Sul;4º trimestre 2020;1,7
Sul;1º trimestre 2021;1,6
Sul;2º trimestre 2021;1,5
Sul;3º trimestre 2021;1,5
Sul;4º trimestre 2021;1,2
Centro-Oeste;1º trimestre 2018;2,1
Centro-Oeste;2º trimestre 2018;2,3
Centro-Oeste;3º trimestre 2018;2
Centro-Oeste;4º trimestre 2018;1,9
Centro-Oeste;1º trimestre 2019;1,9
Centro-Oeste;2º trimestre 2019;2,1
Centro-Oeste;3º trimestre 2019;1,8
Centro-Oeste;4º trimestre 2019;1,7
Centro-Oeste;1º trimestre 2020;1,9
Centro-Oeste;2º trimestre 2020;2,6
Centro-Oeste;3º trimestre 2020;2,4
Centro-Oeste;4º trimestre 2020;1,9
Centro-Oeste;1º trimestre 2021;2,3
Centro-Oeste;2º trimestre 2021;2
Centro-Oeste;3º trimestre 2021;2
Centro-Oeste;4º trimestre 2021;1,8
Rondônia;1º trimestre 2018;2,3
Rondônia;2º trimestre 2018;3
Rondônia;3º trimestre 2018;3
Rondônia;4º trimestre 2018;2,6
Rondônia;1º trimestre 2019;2,3
Rondônia;2º trimestre 2019;1,7
Rondônia;3º trimestre 2019;2,4
Rondônia;4º trimestre 2019;2,3
Rondônia;1º trimestre 2020;2,4
Rondônia;2º trimestre 2020;2,9
Rondônia;3º trimestre 2020;3,3
Rondônia;4º trimestre 2020;4,1
Rondônia;1º trimestre 2021;3,6
Rondônia;2º trimestre 2021;3,3
Rondônia;3º trimestre 2021;2,6
Rondônia;4º trimestre 2021;2,4
Acre;1º trimestre 2018;7,9
Acre;2º trimestre 2018;7,8
Acre;3º trimestre 2018;9,7
Acre;4º trimestre 2018;10,1
Acre;1º trimestre 2019;11,4
Acre;2º trimestre 2019;10,6
Acre;3º trimestre 2019;9,9
Acre;4º trimestre 2019;10,8
Acre;1º trimestre 2020;11,9
Acre;2º trimestre 2020;12,1
Acre;3º trimestre 2020;12,9
Acre;4º trimestre 2020;11,8
Acre;1º trimestre 2021;12,9
Acre;2º trimestre 2021;10,3
Acre;3º trimestre 2021;11
Acre;4º trimestre 2021;9
Amazonas;1º trimestre 2018;5,4
Amazonas;2º trimestre 2018;5,8
Amazonas;3º trimestre 2018;4,3
Amazonas;4º trimestre 2018;6
Amazonas;1º trimestre 2019;5,7
Amazonas;2º trimestre 2019;4,7
Amazonas;3º trimestre 2019;5,4
Amazonas;4º trimestre 2019;5,1
Amazonas;1º trimestre 2020;5,3
Amazonas;2º trimestre 2020;7,9
Amazonas;3º trimestre 2020;7,5
Amazonas;4º trimestre 2020;7,3
Amazonas;1º trimestre 2021;8,1
Amazonas;2º trimestre 2021;6,8
Amazonas;3º trimestre 2021;5,5
Amazonas;4º trimestre 2021;5,9
Roraima;1º trimestre 2018;5,9
Roraima;2º trimestre 2018;5,4
Roraima;3º trimestre 2018;5,3
Roraima;4º trimestre 2018;4,3
Roraima;1º trimestre 2019;3,1
Roraima;2º trimestre 2019;6
Roraima;3º trimestre 2019;6,4
Roraima;4º trimestre 2019;4,6
Roraima;1º trimestre 2020;4,9
Roraima;2º trimestre 2020;8,5
Roraima;3º trimestre 2020;8
Roraima;4º trimestre 2020;7,5
Roraima;1º trimestre 2021;7,3
Roraima;2º trimestre 2021;5,6
Roraima;3º trimestre 2021;5,6
Roraima;4º trimestre 2021;4,7
Pará;1º trimestre 2018;7,7
Pará;2º trimestre 2018;6,9
Pará;3º trimestre 2018;7,5
Pará;4º trimestre 2018;6,7
Pará;1º trimestre 2019;7,3
Pará;2º trimestre 2019;6,2
Pará;3º trimestre 2019;4,9
Pará;4º trimestre 2019;5,5
Pará;1º trimestre 2020;5,8
Pará;2º trimestre 2020;7
Pará;3º trimestre 2020;7,9
Pará;4º trimestre 2020;8,1
Pará;1º trimestre 2021;11
Pará;2º trimestre 2021;9,6
Pará;3º trimestre 2021;7,3
Pará;4º trimestre 2021;5,9
Amapá;1º trimestre 2018;4,4
Amapá;2º trimestre 2018;3,8
Amapá;3º trimestre 2018;2,8
Amapá;4º trimestre 2018;2,9
Amapá;1º trimestre 2019;3,7
Amapá;2º trimestre 2019;3,2
Amapá;3º trimestre 2019;4,5
Amapá;4º trimestre 2019;3,4
Amapá;1º trimestre 2020;4,2
Amapá;2º trimestre 2020;5,8
Amapá;3º trimestre 2020;7,3
Amapá;4º trimestre 2020;7,7
Amapá;1º trimestre 2021;8,1
Amapá;2º trimestre 2021;7,5
Amapá;3º trimestre 2021;6,8
Amapá;4º trimestre 2021;4,4
Tocantins;1º trimestre 2018;4,9
Tocantins;2º trimestre 2018;6
Tocantins;3º trimestre 2018;6,5
Tocantins;4º trimestre 2018;5,8
Tocantins;1º trimestre 2019;4,9
Tocantins;2º trimestre 2019;6,6
Tocantins;3º trimestre 2019;5,9
Tocantins;4º trimestre 2019;7,3
Tocantins;1º trimestre 2020;6,8
Tocantins;2º trimestre 2020;6,6
Tocantins;3º trimestre 2020;7,5
Tocantins;4º trimestre 2020;7,5
Tocantins;1º trimestre 2021;4,7
Tocantins;2º trimestre 2021;5,4
Tocantins;3º trimestre 2021;6,2
Tocantins;4º trimestre 2021;6,4
Maranhão;1º trimestre 2018;13,8
Maranhão;2º trimestre 2018;16,2
Maranhão;3º trimestre 2018;16,7
Maranhão;4º trimestre 2018;16,3
Maranhão;1º trimestre 2019;18
Maranhão;2º trimestre 2019;18,4
Maranhão;3º trimestre 2019;18,4
