"Tabela 4093 - Pessoas de 14 anos ou mais de idade, total, na força de trabalho, ocupadas, desocupadas, fora da força de trabalho, e respectivas taxas e níveis, por sexo"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Sexo"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021"
"Brasil, Grande Região e Unidade da Federação";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
"Brasil";"165909";"166354";"166801";"167246";"167690";"168128";"168565";"168997";"169427";"169852";"170270";"170678";"171084";"171485";"171886";"172283"
"Norte";"13396";"13467";"13539";"13607";"13625";"13646";"13719";"13814";"13852";"...";"...";"...";"...";"...";"...";"..."
"Nordeste";"44293";"44461";"44552";"44563";"44701";"44828";"44883";"45042";"45163";"...";"...";"...";"...";"...";"...";"..."
"Sudeste";"71380";"71592";"71782";"72009";"72208";"72418";"72595";"72725";"72935";"...";"...";"...";"...";"...";"...";"..."
"Sul";"24176";"24182";"24229";"24352";"24358";"24428";"24485";"24512";"24522";"...";"...";"...";"...";"...";"...";"..."
"Centro-Oeste";"12664";"12652";"12699";"12716";"12797";"12808";"12883";"12904";"12954";"...";"...";"...";"...";"...";"...";"..."
"Rondônia";"1351";"1357";"1367";"1373";"1370";"1380";"1383";"1388";"1394";"...";"...";"...";"...";"...";"...";"..."
"Acre";"620";"621";"629";"640";"643";"642";"646";"653";"650";"...";"...";"...";"...";"...";"...";"..."
"Amazonas";"2893";"2913";"2928";"2939";"2960";"2939";"2949";"2987";"3007";"...";"...";"...";"...";"...";"...";"..."
"Roraima";"378";"383";"387";"392";"392";"392";"391";"397";"402";"...";"...";"...";"...";"...";"...";"..."
"Pará";"6372";"6397";"6412";"6449";"6456";"6461";"6511";"6546";"6537";"...";"...";"...";"...";"...";"...";"..."
"Amapá";"597";"602";"615";"615";"612";"630";"624";"620";"628";"...";"...";"...";"...";"...";"...";"..."
"Tocantins";"1185";"1195";"1201";"1200";"1192";"1201";"1215";"1223";"1233";"...";"...";"...";"...";"...";"...";"..."
"Maranhão";"5206";"5231";"5226";"5261";"5287";"5314";"5329";"5347";"5374";"...";"...";"...";"...";"...";"...";"..."
"Piauí";"2548";"2549";"2549";"2562";"2560";"2555";"2584";"2591";"2559";"...";"...";"...";"...";"...";"...";"..."
"Ceará";"7157";"7210";"7215";"7195";"7224";"7221";"7244";"7297";"7324";"...";"...";"...";"...";"...";"...";"..."
"Rio Grande do Norte";"2772";"2776";"2785";"2798";"2778";"2797";"2770";"2783";"2790";"...";"...";"...";"...";"...";"...";"..."
"Paraíba";"3118";"3139";"3141";"3144";"3140";"3163";"3176";"3175";"3160";"...";"...";"...";"...";"...";"...";"..."
"Pernambuco";"7479";"7506";"7500";"7474";"7507";"7544";"7542";"7624";"7726";"...";"...";"...";"...";"...";"...";"..."
"Alagoas";"2580";"2595";"2585";"2593";"2592";"2600";"2613";"2601";"2580";"...";"...";"...";"...";"...";"...";"..."
"Sergipe";"1765";"1768";"1774";"1802";"1795";"1812";"1819";"1816";"1810";"...";"...";"...";"...";"...";"...";"..."
"Bahia";"11668";"11687";"11778";"11734";"11817";"11822";"11807";"11808";"11841";"...";"...";"...";"...";"...";"...";"..."
"Minas Gerais";"17099";"17164";"17144";"17164";"17188";"17297";"17339";"17383";"17401";"...";"...";"...";"...";"...";"...";"..."
"Espírito Santo";"3152";"3166";"3175";"3173";"3177";"3183";"3194";"3233";"3240";"...";"...";"...";"...";"...";"...";"..."
