Localidade;1_trimestre_2018;2_trimestre_2018;3_trimestre_2018;4_trimestre_2018;1_trimestre_2019;2_trimestre_2019;3_trimestre_2019;4_trimestre_2019;1_trimestre_2020;2_trimestre_2020;3_trimestre_2020;4_trimestre_2020;1_trimestre_2021;2_trimestre_2021;3_trimestre_2021;4_trimestre_2021
Brasil;13,2;12,6;12;11,7;12,8;12,1;11,9;11,1;12,4;13,6;14,9;14,2;14,9;14,2;12,6;11,1
Norte;12,9;12,2;11,7;11,8;13,2;12;11,9;10,7;12,1;;;;;;;
Nordeste;16;15;14,6;14,5;15,4;14,8;14,6;13,8;15,8;;;;;;;
Sudeste;13,9;13,3;12,6;12,3;13,3;12,5;12;11,5;12,5;;;;;;;
Sul;8,5;8,2;7,9;7,4;8,2;8,1;8,2;6,8;7,7;;;;;;;
Centro-Oeste;10,6;9,5;9;8,5;10,9;10,4;10,2;9,5;10,7;;;;;;;
Rondonia;10,6;8,3;8,9;9,1;9,1;6,9;8,3;8,2;8,5;;;;;;;
Acre;14,6;13,7;13,3;13,3;18,3;13,8;13,2;13,9;13,7;;;;;;;
Amazonas;14;14,3;13,2;14,6;16;14;13,5;13,1;14,6;;;;;;;
Roraima;10,5;11,6;13,6;14,2;15,2;15,1;15;15;16,7;;;;;;;
Para;12,3;11,3;11;10,3;11,6;11,3;11,3;9,3;10,8;;;;;;;
Amapa;21,7;21,6;18,4;19,8;20,3;17,1;16,9;15,8;17,3;;;;;;;
Tocantins;11;11,4;9,9;10,5;12,5;11,5;10,7;9,3;11,5;;;;;;;
Maranhao;15,8;14,5;14;14,3;16,5;14,8;14,4;12,4;16,3;;;;;;;
Piaui;13,3;13,5;12,5;12,4;13;13;12,9;13,3;14,1;;;;;;;
Ceara;12,9;11,8;10,7;10,2;11,5;11;11,4;10,3;12,4;;;;;;;
Rio Grande do Norte;15,1;13,3;13;13,6;14,1;12,6;13,6;13;15,6;;;;;;;
Paraiba;11,9;11,1;11;11,2;11,3;12,2;11,4;12,2;13,9;;;;;;;
Pernambuco;18;17,1;17;15,6;16,3;16,1;16;14,1;14,8;;;;;;;
Alagoas;18;17,7;17,3;16,2;16,2;14,9;15,6;13,8;16,7;;;;;;;
Sergipe;17,2;17;17,6;15,2;15,5;15,4;14,8;15;15,8;;;;;;;
Bahia;18,1;16,8;16,4;17,6;18,5;17,5;16,9;16,5;18,8;;;;;;;
Minas Gerais;12,7;10,9;9,8;9,7;11,2;9,6;10;9,6;11,7;;;;;;;
Espirito Santo;12,7;12,2;11,4;10,4;12,3;11;10,7;10,4;11,3;;;;;;;
Rio de Janeiro;15,1;15,5;14,7;15;15,4;15,3;14,6;13,8;14,7;;;;;;;
Sao Paulo;14,1;13,8;13,3;12,6;13,6;12,9;12,1;11,6;12,3;;;;;;;
Parana;9,7;9,1;8,7;7,9;9;9,1;9,1;7,4;8;;;;;;;
Santa Catarina;6,6;6,6;6,2;6,3;7,3;6,1;5,8;5,4;5,7;;;;;;;
Rio Grande do Sul;8,6;8,4;8,3;7,5;8;8,3;8,9;7,3;8,5;;;;;;;
Mato Grosso do Sul;8,5;7,7;7,3;7;9,5;8,4;7,7;6,7;7,9;;;;;;;
Mato Grosso;9,5;8,6;6,8;6,9;9,2;8,3;8;6,4;8,6;;;;;;;
Goias;10,4;9,5;9;8,3;10,8;10,6;10,9;10,6;11,5;;;;;;;
Distrito Federal;14,1;12,3;12,6;12,1;14,2;13,8;13,2;12,6;13,6;;;;;;;
