Localidade;Ano/Trimestre;Desocupados_mil
Brasil;2018/1;13872
Brasil;2018/2;13148
Brasil;2018/3;12694
Brasil;2018/4;12413
Brasil;2019/1;13651
Brasil;2019/2;13011
Brasil;2019/3;12798
Brasil;2019/4;11903
Brasil;2020/1;13148
Brasil;2020/2;13228
Brasil;2020/3;14598
Brasil;2020/4;14412
Brasil;2021/1;15257
Brasil;2021/2;14832
Brasil;2021/3;13453
Brasil;2021/4;12011
Norte;2018/1;1043
Norte;2018/2;994
Norte;2018/3;962
Norte;2018/4;981
Norte;2019/1;1092
Norte;2019/2;999
Norte;2019/3;1003
Norte;2019/4;897
Norte;2020/1;1011
Norte;2020/2;926
Norte;2020/3;1060
Norte;2020/4;1041
Norte;2021/1;1236
Norte;2021/2;1192
Norte;2021/3;1041
Norte;2021/4;986
Nordeste;2018/1;3973
Nordeste;2018/2;3688
Nordeste;2018/3;3647
Nordeste;2018/4;3642
Nordeste;2019/1;3859
Nordeste;2019/2;3716
Nordeste;2019/3;3684
Nordeste;2019/4;3468
Nordeste;2020/1;3941
Nordeste;2020/2;3617
Nordeste;2020/3;4082
Nordeste;2020/4;4178
Nordeste;2021/1;4530
Nordeste;2021/2;4493
Nordeste;2021/3;4088
Nordeste;2021/4;3710
Sudeste;2018/1;6610
Sudeste;2018/2;6355
Sudeste;2018/3;6050
Sudeste;2018/4;5873
Sudeste;2019/1;6421
Sudeste;2019/2;6072
Sudeste;2019/3;5866
Sudeste;2019/4;5587
Sudeste;2020/1;6027
Sudeste;2020/2;6236
Sudeste;2020/3;6920
Sudeste;2020/4;6856
Sudeste;2021/1;7030
Sudeste;2021/2;6861
Sudeste;2021/3;6272
Sudeste;2021/4;5466
Sul;2018/1;1355
Sul;2018/2;1304
Sul;2018/3;1269
Sul;2018/4;1187
Sul;2019/1;1332
Sul;2019/2;1315
Sul;2019/3;1341
Sul;2019/4;1122
Sul;2020/1;1238
Sul;2020/2;1414
Sul;2020/3;1470
Sul;2020/4;1319
Sul;2021/1;1378
Sul;2021/2;1293
Sul;2021/3;1203
Sul;2021/4;1107
Centro-Oeste;2018/1;892
Centro-Oeste;2018/2;807
Centro-Oeste;2018/3;766
Centro-Oeste;2018/4;731
Centro-Oeste;2019/1;949
Centro-Oeste;2019/2;910
Centro-Oeste;2019/3;904
Centro-Oeste;2019/4;828
Centro-Oeste;2020/1;930
Centro-Oeste;2020/2;1035
Centro-Oeste;2020/3;1065
Centro-Oeste;2020/4;1017
Centro-Oeste;2021/1;1083
Centro-Oeste;2021/2;992
Centro-Oeste;2021/3;849
Centro-Oeste;2021/4;742
Rondonia;2018/1;90
Rondonia;2018/2;69
Rondonia;2018/3;77
Rondonia;2018/4;80
Rondonia;2019/1;79
Rondonia;2019/2;60
Rondonia;2019/3;74
Rondonia;2019/4;72
Rondonia;2020/1;76
Rondonia;2020/2;91
Rondonia;2020/3;96
Rondonia;2020/4;94
Rondonia;2021/1;96
Rondonia;2021/2;86
Rondonia;2021/3;70
Rondonia;2021/4;63
Acre;2018/1;53
Acre;2018/2;48
Acre;2018/3;48
Acre;2018/4;49
Acre;2019/1;65
Acre;2019/2;49
Acre;2019/3;47
Acre;2019/4;49
Acre;2020/1;47
Acre;2020/2;49
Acre;2020/3;58
Acre;2020/4;57
Acre;2021/1;66
Acre;2021/2;64
Acre;2021/3;52
Acre;2021/4;51
Amazonas;2018/1;251
Amazonas;2018/2;254
Amazonas;2018/3;240
Amazonas;2018/4;267
Amazonas;2019/1;296
Amazonas;2019/2;265
Amazonas;2019/3;257
Amazonas;2019/4;248
Amazonas;2020/1;279
Amazonas;2020/2;291
Amazonas;2020/3;310
Amazonas;2020/4;295
Amazonas;2021/1;329
Amazonas;2021/2;304
Amazonas;2021/3;264
Amazonas;2021/4;252
Roraima;2018/1;25
Roraima;2018/2;28
Roraima;2018/3;33
Roraima;2018/4;36
Roraima;2019/1;39
Roraima;2019/2;38
Roraima;2019/3;37
Roraima;2019/4;38
Roraima;2020/1;42
Roraima;2020/2;39
Roraima;2020/3;45
Roraima;2020/4;36
Roraima;2021/1;36
Roraima;2021/2;37
Roraima;2021/3;28
Roraima;2021/4;24
Para;2018/1;465
Para;2018/2;434
Para;2018/3;424
Para;2018/4;397
Para;2019/1;445
Para;2019/2;435
Para;2019/3;444
Para;2019/4;360
Para;2020/1;417
Para;2020/2;330
Para;2020/3;413
Para;2020/4;420
Para;2021/1;523
Para;2021/2;524
Para;2021/3;475
Para;2021/4;450
Amapa;2018/1;80
Amapa;2018/2;80
Amapa;2018/3;70
Amapa;2018/4;75
Amapa;2019/1;78
Amapa;2019/2;69
