Localidade;1_trimestre_2018;2_trimestre_2018;3_trimestre_2018;4_trimestre_2018;1_trimestre_2019;2_trimestre_2019;3_trimestre_2019;4_trimestre_2019;1_trimestre_2020;2_trimestre_2020;3_trimestre_2020;4_trimestre_2020;1_trimestre_2021;2_trimestre_2021;3_trimestre_2021;4_trimestre_2021
Brasil;61158;61744;61177;61299;61417;60958;61030;61579;63164;72573;72234;69042;68746;67270;65456;64525
Norte;5286;5346;5323;5305;5356;5316;5295;5423;5468;;;;;;;
Nordeste;19533;19921;19542;19518;19722;19655;19664;19829;20189;;;;;;;
Sudeste;23867;23952;23879;24126;24048;23808;23850;24052;24898;;;;;;;
Sul;8235;8327;8271;8220;8176;8146;8178;8132;8344;;;;;;;
Centro-Oeste;4237;4197;4162;4131;4115;4032;4044;4142;4265;;;;;;;
Rondonia;496;519;502;497;499;511;497;505;502;;;;;;;
Acre;260;270;269;275;286;284;290;300;310;;;;;;;
Amazonas;1099;1142;1115;1105;1116;1053;1050;1085;1100;;;;;;;
Roraima;139;143;143;139;134;143;143;141;147;;;;;;;
Para;2583;2559;2574;2583;2619;2622;2596;2665;2663;;;;;;;
Amapa;227;234;232;238;230;229;233;227;240;;;;;;;
Tocantins;481;480;488;468;471;473;486;500;505;;;;;;;
Maranhao;2525;2633;2602;2610;2696;2690;2673;2687;2730;;;;;;;
Piaui;1147;1119;1095;1101;1108;1088;1046;1088;1125;;;;;;;
Ceara;3062;3155;3078;3070;3102;3058;3061;3070;3181;;;;;;;
Rio Grande do Norte;1254;1255;1215;1250;1255;1257;1227;1249;1225;;;;;;;
Paraiba;1411;1440;1410;1417;1456;1464;1477;1480;1488;;;;;;;
Pernambuco;3251;3282;3274;3229;3238;3309;3328;3377;3598;;;;;;;
Alagoas;1435;1452;1402;1400;1390;1354;1379;1408;1356;;;;;;;
Sergipe;730;744;736;737;732;711;723;691;727;;;;;;;
Bahia;4717;4839;4730;4702;4745;4724;4752;4779;4760;;;;;;;
Minas Gerais;5900;5886;5865;5940;6005;5909;5856;5921;6114;;;;;;;
Espirito Santo;1078;1066;1052;1053;1023;981;1018;1057;1084;;;;;;;
Rio de Janeiro;5472;5449;5433;5399;5376;5452;5477;5523;5648;;;;;;;
Sao Paulo;11417;11551;11530;11733;11644;11466;11499;11551;12051;;;;;;;
Parana;3121;3136;3127;3122;3078;3049;3051;3095;3137;;;;;;;
Santa Catarina;1889;1912;1903;1880;1881;1917;1946;1916;2008;;;;;;;
Rio Grande do Sul;3225;3279;3242;3219;3218;3180;3181;3122;3199;;;;;;;
Mato Grosso do Sul;686;677;650;676;677;644;679;708;730;;;;;;;
Mato Grosso;913;901;897;859;850;812;815;847;848;;;;;;;
Goias;1835;1826;1831;1815;1813;1821;1792;1800;1879;;;;;;;
Distrito Federal;803;794;783;781;775;755;758;787;807;;;;;;;
