Localidade;Ano/Trimestre;Forca_total
Brasil;2018/1;104751
Brasil;2018/2;104610
Brasil;2018/3;105624
Brasil;2018/4;105947
Brasil;2019/1;106273
Brasil;2019/2;107170
Brasil;2019/3;107535
Brasil;2019/4;107418
Brasil;2020/1;106263
Brasil;2020/2;97279
Brasil;2020/3;98037
Brasil;2020/4;101637
Brasil;2021/1;102339
Brasil;2021/2;104216
Brasil;2021/3;106430
Brasil;2021/4;107758
Norte;2018/1;8110
Norte;2018/2;8121
Norte;2018/3;8215
Norte;2018/4;8302
Norte;2019/1;8269
Norte;2019/2;8330
Norte;2019/3;8425
Norte;2019/4;8390
Norte;2020/1;8384
Norte;2020/2;7720
Norte;2020/3;7955
Norte;2020/4;8255
Norte;2021/1;8230
Norte;2021/2;8439
Norte;2021/3;8670
Norte;2021/4;8770
Nordeste;2018/1;24760
Nordeste;2018/2;24541
Nordeste;2018/3;25011
Nordeste;2018/4;25045
Nordeste;2019/1;24979
Nordeste;2019/2;25173
Nordeste;2019/3;25220
Nordeste;2019/4;25213
Nordeste;2020/1;24974
Nordeste;2020/2;21876
Nordeste;2020/3;22298
Nordeste;2020/4;23789
Nordeste;2021/1;23960
Nordeste;2021/2;24381
Nordeste;2021/3;24999
Nordeste;2021/4;25191
Sudeste;2018/1;47513
Sudeste;2018/2;47639
Sudeste;2018/3;47903
Sudeste;2018/4;47883
Sudeste;2019/1;48161
Sudeste;2019/2;48610
Sudeste;2019/3;48746
Sudeste;2019/4;48673
Sudeste;2020/1;48037
Sudeste;2020/2;43897
Sudeste;2020/3;44206
Sudeste;2020/4;45490
Sudeste;2021/1;45881
Sudeste;2021/2;47074
Sudeste;2021/3;48022
Sudeste;2021/4;48609
Sul;2018/1;15941
Sul;2018/2;15855
Sul;2018/3;15958
Sul;2018/4;16132
Sul;2019/1;16182
Sul;2019/2;16282
Sul;2019/3;16307
Sul;2019/4;16379
Sul;2020/1;16178
Sul;2020/2;15618
Sul;2020/3;15347
Sul;2020/4;15692
Sul;2021/1;15776
