Localidade;Ano/Trimestre;Ocupados_mil
Brasil;2018/1;90879
Brasil;2018/2;91462
Brasil;2018/3;92930
Brasil;2018/4;93534
Brasil;2019/1;92621
Brasil;2019/2;94159
Brasil;2019/3;94737
Brasil;2019/4;95515
Brasil;2020/1;93115
Brasil;2020/2;84051
Brasil;2020/3;83439
Brasil;2020/4;87225
Brasil;2021/1;87082
Brasil;2021/2;89384
Brasil;2021/3;92976
Brasil;2021/4;95747
Norte;2018/1;7067
Norte;2018/2;7126
Norte;2018/3;7253
Norte;2018/4;7321
Norte;2019/1;7178
Norte;2019/2;7331
Norte;2019/3;7422
Norte;2019/4;7493
Norte;2020/1;7373
Norte;2020/2;6794
Norte;2020/3;6895
Norte;2020/4;7214
Norte;2021/1;6995
Norte;2021/2;7247
Norte;2021/3;7628
Norte;2021/4;7784
Nordeste;2018/1;20788
Nordeste;2018/2;20853
Nordeste;2018/3;21363
Nordeste;2018/4;21404
Nordeste;2019/1;21120
Nordeste;2019/2;21458
Nordeste;2019/3;21536
Nordeste;2019/4;21744
Nordeste;2020/1;21033
Nordeste;2020/2;18258
Nordeste;2020/3;18216
Nordeste;2020/4;19611
Nordeste;2021/1;19430
Nordeste;2021/2;19888
Nordeste;2021/3;20912
Nordeste;2021/4;21481
Sudeste;2018/1;40903
Sudeste;2018/2;41284
Sudeste;2018/3;41853
Sudeste;2018/4;42010
Sudeste;2019/1;41740
Sudeste;2019/2;42537
Sudeste;2019/3;42880
Sudeste;2019/4;43086
Sudeste;2020/1;42010
Sudeste;2020/2;37660
Sudeste;2020/3;37286
Sudeste;2020/4;38634
Sudeste;2021/1;38851
Sudeste;2021/2;40212
Sudeste;2021/3;41750
Sudeste;2021/4;43143
Sul;2018/1;14586
Sul;2018/2;14550
Sul;2018/3;14689
Sul;2018/4;14946
Sul;2019/1;14851
Sul;2019/2;14967
Sul;2019/3;14965
Sul;2019/4;15257
Sul;2020/1;14940
Sul;2020/2;14204
Sul;2020/3;13876
Sul;2020/4;14373
Sul;2021/1;14398
Sul;2021/2;14514
Sul;2021/3;14879
Sul;2021/4;15303
Centro-Oeste;2018/1;7534
Centro-Oeste;2018/2;7648
Centro-Oeste;2018/3;7772
Centro-Oeste;2018/4;7853
Centro-Oeste;2019/1;7733
Centro-Oeste;2019/2;7866
Centro-Oeste;2019/3;7934
Centro-Oeste;2019/4;7934
Centro-Oeste;2020/1;7759
Centro-Oeste;2020/2;7134
Centro-Oeste;2020/3;7165
Centro-Oeste;2020/4;7392
Centro-Oeste;2021/1;7408
Centro-Oeste;2021/2;7523
Centro-Oeste;2021/3;7808
Centro-Oeste;2021/4;8038
Rondonia;2018/1;765
Rondonia;2018/2;768
Rondonia;2018/3;788
Rondonia;2018/4;796
Rondonia;2019/1;792
Rondonia;2019/2;809
Rondonia;2019/3;812
Rondonia;2019/4;810
Rondonia;2020/1;817
Rondonia;2020/2;731
Rondonia;2020/3;720
Rondonia;2020/4;751
Rondonia;2021/1;749
Rondonia;2021/2;782
Rondonia;2021/3;827
Rondonia;2021/4;853
Acre;2018/1;307
Acre;2018/2;303
Acre;2018/3;311
Acre;2018/4;316
Acre;2019/1;292
Acre;2019/2;309
Acre;2019/3;309
Acre;2019/4;304
Acre;2020/1;293
Acre;2020/2;289
Acre;2020/3;276
Acre;2020/4;301
Acre;2021/1;300
Acre;2021/2;326
Acre;2021/3;326
Acre;2021/4;331
Amazonas;2018/1;1543
Amazonas;2018/2;1518
Amazonas;2018/3;1573
Amazonas;2018/4;1566
Amazonas;2019/1;1548
Amazonas;2019/2;1622
Amazonas;2019/3;1642
Amazonas;2019/4;1654
Amazonas;2020/1;1629
Amazonas;2020/2;1460
Amazonas;2020/3;1529
Amazonas;2020/4;1583
Amazonas;2021/1;1540
Amazonas;2021/2;1621
Amazonas;2021/3;1701
Amazonas;2021/4;1671
Roraima;2018/1;213
Roraima;2018/2;212
Roraima;2018/3;211
Roraima;2018/4;217
