Localidade;1_trimestre_2018;2_trimestre_2018;3_trimestre_2018;4_trimestre_2018;1_trimestre_2019;2_trimestre_2019;3_trimestre_2019;4_trimestre_2019;1_trimestre_2020;2_trimestre_2020;3_trimestre_2020;4_trimestre_2020;1_trimestre_2021;2_trimestre_2021;3_trimestre_2021;4_trimestre_2021
Brasil;63,1;62,9;63,3;63,3;63,4;63,7;63,8;63,6;62,7;57,3;57,6;59,5;59,8;60,8;61,9;62,5
Norte;60,5;60,3;60,7;61;60,7;61;61,4;60,7;60,5;;;;;;;
Nordeste;55,9;55,2;56,1;56,2;55,9;56,2;56,2;56;55,3;;;;;;;
Sudeste;66,6;66,5;66,7;66,5;66,7;67,1;67,1;66,9;65,9;;;;;;;
Sul;65,9;65,6;65,9;66,2;66,4;66,7;66,6;66,8;66;;;;;;;
Centro-Oeste;66,5;66,8;67,2;67,5;67,8;68,5;68,6;67,9;67,1;;;;;;;
Rondonia;63,3;61,8;63,3;63,8;63,6;62,9;64,1;63,6;64;;;;;;;
Acre;58;56,6;57,1;57;55,5;55,7;55,1;54,1;52,3;;;;;;;
Amazonas;62;60,8;61,9;62,4;62,3;64,2;64,4;63,7;63,4;;;;;;;
Roraima;63,1;62,7;63,1;64,5;65,7;63,4;63,6;64,4;63,4;;;;;;;
Para;59,5;60;59,9;60;59,4;59,4;60,1;59,3;59,3;;;;;;;
Amapa;61,9;61,1;62,2;61,3;62,5;63,7;62,7;63,4;61,7;;;;;;;
Tocantins;59,4;59,8;59,4;61;60,4;60,6;59,9;59,1;59,1;;;;;;;
Maranhao;51,5;49,7;50,2;50,4;49;49,4;49,8;49,7;49,2;;;;;;;
Piaui;55;56,1;57,1;57;56,7;57,4;59,5;58;56,1;;;;;;;
Ceara;57,2;56,2;57,3;57,3;57,1;57,7;57,8;57,9;56,6;;;;;;;
Rio Grande do Norte;54,7;54,8;56,4;55,3;54,8;55,1;55,7;55,1;56,1;;;;;;;
Paraiba;54,8;54,1;55,1;54,9;53,6;53,7;53,5;53,4;52,9;;;;;;;
Pernambuco;56,5;56,3;56,4;56,8;56,9;56,1;55,9;55,7;53,4;;;;;;;
Alagoas;44,4;44;45,8;46;46,4;47,9;47,2;45,9;47,4;;;;;;;
Sergipe;58,6;57,9;58,5;59,1;59,2;60,8;60,3;62;59,8;;;;;;;
Bahia;59,6;58,6;59,8;59,9;59,8;60;59,8;59,5;59,8;;;;;;;
Minas Gerais;65,5;65,7;65,8;65,4;65,1;65,8;66,2;65,9;64,9;;;;;;;
Espirito Santo;65,8;66,3;66,9;66,8;67,8;69,2;68,1;67,3;66,5;;;;;;;
Rio de Janeiro;61,7;61,9;62;62,3;62,6;62,2;62,2;62;61,3;;;;;;;
Sao Paulo;69;68,8;69;68,6;68,9;69,4;69,4;69,3;68;;;;;;;
Parana;65,8;65,7;65,9;66;66,5;66,8;66,9;66,4;66;;;;;;;
Santa Catarina;67,2;66,8;67,1;67,7;67,6;67,1;66,8;67,5;66;;;;;;;
Rio Grande do Sul;65,2;64,7;65;65,5;65,7;66,2;66,1;66,8;66;;;;;;;
Mato Grosso do Sul;67,2;67,5;68,8;68;67,9;69,4;68;66,9;65,8;;;;;;;
Mato Grosso;65,5;66,1;66,4;67,7;68,2;69,5;69,5;68,2;68,5;;;;;;;
Goias;66,7;66,8;66,7;67;67,4;67,4;68,2;68,1;66,7;;;;;;;
Distrito Federal;66,8;67,2;67,9;68;68,4;69,2;69,1;68;67,5;;;;;;;
